QtdRobots: 20
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 100
PointsCollision: -1000
PointsMoving: 10
MaxPopulation: 200
MaxTime: 3000
EnvMutationRate: 0.2
QtdSensors: 5
EnableSensor: 0.4

Environment 0	 h: 5	 mr: 0.2	 nc: 0.3	 nm: 0.5	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: -611.89 	mf: -611.00 	ga0: 1.00 	ga1: 4.20 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.58 	gb1: 0.60 	gb2: 0.10 	gb3: 0.44 	gb4: 0.45 	gb5: 2.59 	gb6: 1.68 	gb7: 1.55 	gb8: 1.16 	gb9: 3.54
			Robot 1 	f: -1011.64 	mf: -1011.00 	ga0: 1.00 	ga1: 2.43 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.13 	gb1: 0.62 	gb2: 0.59 	gb3: 0.42 	gb4: 0.39 	gb5: 1.29 	gb6: 2.35 	gb7: 1.31 	gb8: 0.69 	gb9: 2.90
			Robot 2 	f: -1522.73 	mf: -1522.00 	ga0: 1.00 	ga1: 2.91 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.29 	gb1: 0.84 	gb2: 0.67 	gb3: 0.55 	gb4: 0.56 	gb5: 1.31 	gb6: 2.99 	gb7: 2.11 	gb8: 2.12 	gb9: 4.07
			Robot 3 	f: 48.33 	mf: 48.00 	ga0: 1.00 	ga1: 3.93 	ga2: 0.00 	ga3: 0.38 	ga4: 0.00 	ga5: 0.00 	ga6: 0.16 	gb0: 0.40 	gb1: 0.83 	gb2: 0.43 	gb3: 0.25 	gb4: 0.49 	gb5: 3.23 	gb6: 3.82 	gb7: 2.31 	gb8: 0.97 	gb9: 2.52
			Robot 4 	f: -4333.14 	mf: -4333.00 	ga0: 1.00 	ga1: 3.18 	ga2: 0.40 	ga3: 0.05 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.35 	gb1: 0.64 	gb2: 0.67 	gb3: 0.32 	gb4: 0.50 	gb5: 1.68 	gb6: 3.11 	gb7: 2.80 	gb8: 2.57 	gb9: 1.83
			Robot 5 	f: -1527.65 	mf: -1527.00 	ga0: 1.00 	ga1: 4.32 	ga2: 0.00 	ga3: 0.20 	ga4: 0.00 	ga5: 0.10 	ga6: 0.42 	gb0: 0.63 	gb1: 0.54 	gb2: 0.61 	gb3: 0.44 	gb4: 0.33 	gb5: 2.82 	gb6: 3.41 	gb7: 2.04 	gb8: 2.05 	gb9: 1.53
			Robot 6 	f: -3170.55 	mf: -3170.00 	ga0: 1.00 	ga1: 4.30 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.71 	gb1: 0.79 	gb2: 0.33 	gb3: 0.67 	gb4: 0.32 	gb5: 1.70 	gb6: 2.18 	gb7: 3.09 	gb8: 2.86 	gb9: 1.99
			Robot 7 	f: -287.28 	mf: -287.00 	ga0: 1.00 	ga1: 1.71 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.27 	gb1: 0.85 	gb2: 0.34 	gb3: 0.21 	gb4: 0.56 	gb5: 2.44 	gb6: 2.43 	gb7: 2.69 	gb8: 0.78 	gb9: 3.60
			Robot 8 	f: -2472.60 	mf: -2472.00 	ga0: 1.00 	ga1: 1.77 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.06 	ga6: 0.00 	gb0: 0.30 	gb1: 0.67 	gb2: 0.20 	gb3: 0.41 	gb4: 0.70 	gb5: 2.24 	gb6: 2.26 	gb7: 2.51 	gb8: 2.54 	gb9: 3.16
			Robot 9 	f: -7561.06 	mf: -7561.00 	ga0: 1.00 	ga1: 3.38 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.40 	ga6: 0.00 	gb0: 0.19 	gb1: 0.72 	gb2: 0.30 	gb3: 0.22 	gb4: 0.39 	gb5: 2.38 	gb6: 2.85 	gb7: 3.17 	gb8: 2.56 	gb9: 3.40
			Robot 10 	f: -2053.87 	mf: -2053.00 	ga0: 1.00 	ga1: 4.72 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.27 	gb1: 0.83 	gb2: 0.26 	gb3: 0.46 	gb4: 0.56 	gb5: 3.95 	gb6: 4.25 	gb7: 2.96 	gb8: 3.40 	gb9: 2.35
			Robot 11 	f: -405.25 	mf: -405.00 	ga0: 1.00 	ga1: 2.58 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.69 	gb1: 0.34 	gb2: 0.35 	gb3: 0.70 	gb4: 0.56 	gb5: 3.16 	gb6: 3.15 	gb7: 3.68 	gb8: 0.70 	gb9: 1.55
			Robot 12 	f: -283.16 	mf: -283.00 	ga0: 1.00 	ga1: 3.30 	ga2: 0.00 	ga3: 0.06 	ga4: 0.00 	ga5: 0.00 	ga6: 0.47 	gb0: 0.31 	gb1: 0.74 	gb2: 0.31 	gb3: 0.74 	gb4: 0.32 	gb5: 2.68 	gb6: 2.02 	gb7: 1.97 	gb8: 1.79 	gb9: 3.75
			Robot 13 	f: -1602.64 	mf: -1602.00 	ga0: 1.00 	ga1: 1.00 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.55 	gb1: 0.42 	gb2: 0.30 	gb3: 0.51 	gb4: 0.20 	gb5: 1.90 	gb6: 3.71 	gb7: 2.89 	gb8: 3.49 	gb9: 1.56
			Robot 14 	f: 488.31 	mf: 488.00 	ga0: 1.00 	ga1: 2.40 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.25 	gb1: 0.83 	gb2: 0.25 	gb3: 0.35 	gb4: 0.52 	gb5: 3.05 	gb6: 3.81 	gb7: 2.65 	gb8: 1.12 	gb9: 3.38
			Robot 15 	f: -1262.57 	mf: -1262.00 	ga0: 1.00 	ga1: 3.90 	ga2: 0.00 	ga3: 0.00 	ga4: 0.14 	ga5: 0.00 	ga6: 0.37 	gb0: 0.13 	gb1: 0.82 	gb2: 0.37 	gb3: 0.59 	gb4: 0.43 	gb5: 2.29 	gb6: 2.20 	gb7: 2.73 	gb8: 3.25 	gb9: 2.19
			Robot 16 	f: -734.39 	mf: -734.00 	ga0: 1.00 	ga1: 3.03 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.43 	gb0: 0.42 	gb1: 0.80 	gb2: 0.52 	gb3: 0.46 	gb4: 0.57 	gb5: 1.92 	gb6: 3.65 	gb7: 3.85 	gb8: 1.57 	gb9: 2.79
			Robot 17 	f: -1260.65 	mf: -1260.00 	ga0: 1.00 	ga1: 3.87 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.10 	gb0: 0.25 	gb1: 0.64 	gb2: 0.25 	gb3: 0.35 	gb4: 0.36 	gb5: 1.67 	gb6: 3.86 	gb7: 2.99 	gb8: 2.62 	gb9: 2.71
			Robot 18 	f: -88.15 	mf: -88.00 	ga0: 1.00 	ga1: 3.45 	ga2: 0.43 	ga3: 0.00 	ga4: 0.41 	ga5: 0.00 	ga6: 0.00 	gb0: 0.53 	gb1: 0.62 	gb2: 0.26 	gb3: 0.23 	gb4: 0.37 	gb5: 3.60 	gb6: 3.63 	gb7: 2.86 	gb8: 1.46 	gb9: 2.99
			Robot 19 	f: -952.83 	mf: -952.00 	ga0: 1.00 	ga1: 4.38 	ga2: 0.21 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.21 	gb1: 0.77 	gb2: 0.17 	gb3: 0.34 	gb4: 0.46 	gb5: 2.46 	gb6: 2.90 	gb7: 1.50 	gb8: 1.40 	gb9: 2.44
		Population 1
			Robot 0 	f: 1070.79 	mf: 229.00 	ga0: 1.00 	ga1: 3.68 	ga2: 0.30 	ga3: 0.00 	ga4: 0.63 	ga5: 0.03 	ga6: 0.00 	gb0: 0.74 	gb1: 0.77 	gb2: 0.36 	gb3: 0.41 	gb4: 0.61 	gb5: 3.11 	gb6: 2.07 	gb7: 3.65 	gb8: 2.65 	gb9: 3.80
			Robot 1 	f: 365.83 	mf: -323.00 	ga0: 1.00 	ga1: 3.14 	ga2: 0.30 	ga3: 0.00 	ga4: 0.29 	ga5: 0.00 	ga6: 0.00 	gb0: 0.69 	gb1: 0.52 	gb2: 0.24 	gb3: 0.46 	gb4: 0.23 	gb5: 1.97 	gb6: 2.10 	gb7: 2.61 	gb8: 1.20 	gb9: 3.71
